Kabupaten,Tahun,Luas Panen,Hasil Panen,Produktivitas,Humidity
Pekalongan,2015,255.0,223.38,8.759999999999998,77.2746340574169
Pemalang,2015,14.0,12.01,8.57857142857143,77.14553151842738
Tegal,2015,58.0,61.0,10.51724137931035,77.0
Brebes,2015,1295.0,1461.857,11.28847104247104,77.92694146796734
Magelang,2015,1847.5444189947614,2103.9545760177775,12.440568643798494,78.0
Surakarta,2015,1372.3239957371084,1596.8965948527537,12.956480312982078,79.0
Salatiga,2015,540.1195210183415,663.3432697395364,12.906832769527671,80.0
Semarang,2015,22.0,26.0,11.81818181818182,72.0
Semarang,2015,22.0,26.0,11.81818181818182,69.0
Pekalongan,2015,1768.7511622057818,2711.0636411728306,11.842126626306724,69.95476399930874
Tegal,2015,4693.948416653475,7212.531901884984,12.62723193601311,77.0
Cilacap,2019,4165.0,6272.0,15.06,83.0
Banyumas,2019,122.0,108.0,8.86,87.64647451735263
Purbalingga,2019,-3169.054146993653,-2708.194074925259,3.7524871544583647,88.30045359422853
Banjarnegara,2019,1.0,1.0,6.0,85.6053903169733
Kebumen,2019,10086.0,6517.0,6.46,80.0
Purworejo,2019,3437.0,3922.0,11.41,74.30667089893797
Wonosobo,2019,-2062.080231533113,1124.375118511664,14.507130870609705,74.0
Magelang,2019,-2687.021551398861,19.476610818237276,16.52504036838954,78.0
Boyolali,2019,-1016.2682149936701,19.88647732372965,16.656720764861436,84.33912954605063
Klaten,2019,369.0,538.0,14.57,87.48105117009507
Sukoharjo,2019,1469.917864717207,1574.0202068508852,12.720206321848963,88.00728632859165
Wonogiri,2019,38.0,45.0,11.64,87.0
Karanganyar,2019,-6183.828998063923,-7133.03060487052,11.450459949377427,82.0
Sragen,2019,69.0,90.0,12.95,80.54107730157955
Grobogan,2019,23215.0,26837.0,11.56,78.91607196136638
Blora,2019,256.0,259.0,10.12,77.99998230099801
Rembang,2019,423.0,333.0,7.87,77.79280832047445
Pati,2019,5392.0,7179.0,13.31,79.0
Kudus,2019,5085.0,5820.0,11.45,78.0
Jepara,2019,15510.388788415888,19856.906476063854,12.783037804787286,79.4833866051899
Demak,2019,28290.0,37636.0,13.3,79.6851330280671
Semarang,2019,32169.08593484417,43194.822848938755,13.21151005819704,81.0
Semarang,2019,27149.913981242997,36533.72765069335,13.1675242576597,77.0
Semarang,2019,14913.774219895688,19959.310571316662,12.951390505627547,79.0
Temanggung,2019,5552.941911586688,7311.853862752558,12.563108802100578,81.40896116850494
Kendal,2019,749.0,898.0,11.98,82.07999522435315
Batang,2019,1.0,1.0,11.0,81.0
Pekalongan,2019,122.0,133.0,10.87,78.5877613008341
Pemalang,2019,-401.72901349410995,-535.1166662559865,9.953875060327439,76.37434658560313
Tegal,2019,7.0,7.0,10.29,74.0
Brebes,2019,2652.0,3391.0,12.79,74.02822109302905
Magelang,2019,4873.16803869721,6231.197820946252,14.622237366128266,78.0
Surakarta,2019,6228.106681822289,7963.440030383941,15.698970538325026,82.25441283879988
Salatiga,2019,6716.658859669454,8587.705527732225,15.836864401683707,83.09862450130201
Semarang,2019,6338.824572238703,8103.994312991104,15.035918956204302,81.0
Semarang,2019,5094.60381953004,6512.306386160585,13.296134201886812,77.0
Semarang,2019,2983.996601543463,3812.6417472406606,10.617510138731241,79.0
Pekalongan,2019,7.0,5.0,7.0,78.57616841936002
Tegal,2019,-3836.377230263435,-4910.617666867398,2.4437440859058412,74.0
