Kabupaten,Tahun,Luas Panen,Hasil Panen,Produktivitas,Station,Humidity
Karanganyar,2019,587.0,22273.0,379.5,"Puslitbang FP. UNS Jumantono, Karanganyar",82.0
Sragen,2019,411.9809088843128,15618.907643217688,336.9856565680862,,81.51605300980128
Grobogan,2019,28.0,710.0,255.26,,80.1720543580044
Blora,2019,30.0,802.0,268.07,,79.22027616271136
Rembang,2019,35.0,903.0,260.96,,78.66071842392216
Pati,2019,29.0,638.0,219.2,"SMPK. Rondole, Pati",79.0
Kudus,2019,53.0,1156.0,216.93,"SMPK. Colo, Kudus",78.0
Jepara,2019,9.0,255.0,293.19,,78.97431263189591
Demak,2019,88.0,3107.0,352.63,,79.53231757576981
Semarang,2019,799.0,19471.0,243.72,"SMPK. Balit Getas, Semarang",81.0
Semarang,2019,799.0,19471.0,243.72,"Klimatologi, Semarang",77.0
Semarang,2019,799.0,19471.0,243.72,"SI. Ungaran, Semarang",79.0
Temanggung,2019,230.0,6170.0,268.16,,85.02608371699122
Kendal,2019,264.0,6164.0,233.47,,85.68001275346226
Batang,2019,338.0,9356.0,276.81,"Gamer/Subah, Batang",81.0
Pekalongan,2019,71.0,1926.0,270.16,,75.09918343277931
Pemalang,2019,38.0,776.0,206.33,,72.79932017491156
Tegal,2019,77.0,2095.0,272.47,"Meteorologi, Tegal",74.0
Brebes,2019,20.0,521.0,261.78,,76.54408194997076
Magelang,2019,-13.993699713617946,-445.0703007852296,198.28797140044472,"SMPK. Borobudur, Magelang",78.0
Surakarta,2019,-7.344577340727981,-257.8002216841234,113.92581553322306,,79.49180975124722
Salatiga,2019,3.0,42.0,139.45,,79.8777626377935
Semarang,2019,10.0,253.0,258.36,"SMPK. Balit Getas, Semarang",81.0
Semarang,2019,10.0,253.0,258.36,"Klimatologi, Semarang",77.0
Semarang,2019,10.0,253.0,258.36,"SI. Ungaran, Semarang",79.0
Pekalongan,2019,11.30058583848674,292.5824868520086,283.1018917843936,,76.49282296703947
Tegal,2019,13.906941567581931,371.83456464057736,332.99660969720867,"Meteorologi, Tegal",74.0
