Kabupaten,Tahun,Luas Panen,Hasil Panen,Produktivitas,Station,Humidity
Pati,2022,105948.0,588697.0,55.56,,76.77284682478708
Kudus,2022,33322.0,196822.0,59.07,,77.16032969130134
Jepara,2022,41602.0,209088.0,50.26,,77.74506539842899
Demak,2022,103402.0,617855.0,59.75,,78.52705394617001
Semarang,2022,27860.0,147746.0,53.03,"SMPK. Balit Getas, Semarang",80.0
Semarang,2022,27860.0,147746.0,53.03,"Klimatologi, Semarang",80.0
Temanggung,2022,10297.0,58782.0,57.09,,81.0858102860409
Kendal,2022,31299.0,169771.0,54.24,,81.44340226244485
Batang,2022,25911.0,131915.0,50.91,,81.51288390594596
Pekalongan,2022,37530.0,167071.0,44.52,,81.2942552165442
Pemalang,2022,76394.0,405440.0,53.07,,80.78751619423961
Tegal,2022,64094.0,340554.0,53.13,"Meteorologi, Tegal",80.0
Brebes,2022,80331.0,450663.0,56.1,,78.90970715092188
Kota Magelang,2022,147.0,798.0,54.29,,77.53863712990872
Kota Surakarta,2022,27.0,156.0,57.78,,75.87945677599272
Kota Salatiga,2022,650.0,3614.0,55.6,,73.93216608917388
Kota Semarang,2022,3027.0,15691.0,51.84,,71.69676506945214
Kota Pekalongan,2022,1351.0,7684.0,56.88,,69.17325371682756
Kota Tegal,2022,626.0,3179.0,50.78,,66.36163203130019
