,Unnamed: 0,Kabupaten,Tahun,Luas Panen,Hasil Panen,Produktivitas,Humidity
0,0,Cilacap,2013,1737.0,2274.596642120152,13.09497203293121,82.0
1,1,Banyumas,2013,207.0,108.8105544327669,5.256548523322072,86.52798630941372
2,2,Purbalingga,2013,34.0,43.77846067064139,12.87601784430629,87.56318539670798
3,3,Banjarnegara,2013,4.0,2.719,6.797500000000001,86.31679178564823
4,4,Kebumen,2013,7093.0,7093.628853142302,10.00088658274679,84.0
5,5,Purworejo,2013,158.0,172.3239773949541,10.90658084778191,81.82400456352876
6,6,Wonosobo,2013,1.0,1.196590468163935,11.96590468163935,81.0
7,7,Magelang,2013,0.0,0.0,0.0,82.0
8,8,Boyolali,2013,13.0,0.0,0.0,82.89457562914713
9,9,Klaten,2013,82.0,99.82508781255083,12.17379119665254,83.2362399508778
10,10,Sukoharjo,2013,47.0,60.677,12.91,83.13278673637754
11,11,Wonogiri,2013,87.0,87.50333473241517,10.05785456694427,82.69200975683196
12,12,Karanganyar,2013,0.0,0.0,0.0,82.02170278342663
13,13,Sragen,2013,695.0,872.2148844088601,12.54985445192604,81.22965958734721
14,14,Grobogan,2013,12231.0,13051.92771211318,10.67118609444296,80.42367393977923
15,15,Blora,2013,2188.0,2445.408210463074,11.17645434398114,79.71153961190831
16,16,Rembang,2013,3699.0,3551.207066058636,9.600451651956304,79.20105037492003
17,17,Pati,2013,10357.0,12509.97430258135,12.07876248197485,79.0
18,18,Kudus,2013,954.0,958.143,10.04342767295597,79.0
19,19,Jepara,2013,45.0,57.22499999999999,12.71666666666667,78.53865885401629
20,20,Demak,2013,13746.0,15874.48376797493,11.54843864977079,77.98030678112956
21,21,Semarang,2013,0.0,0.0,0.0,78.0
22,22,Semarang,2013,0.0,0.0,0.0,79.0
23,23,Temanggung,2013,0.0,0.0,0.0,80.36911203883805
24,24,Kendal,2013,1461.0,1684.311729782503,11.52848548790214,81.53423738688514
25,25,Batang,2013,2.0,2.088050366946066,10.44025183473033,82.0
26,26,Pekalongan,2013,626.0,549.002,8.77,81.44704787151025
27,27,Pemalang,2013,45.0,45.885,10.19666666666667,80.26012514461942
28,28,Tegal,2013,29.0,25.26477720803902,8.71199214070311,79.0
29,29,Brebes,2013,2264.0,2551.36304831839,11.26927141483388,78.12670645136059
30,30,Kota Magelang,2013,0.0,0.0,0.0,77.69734184455419
31,31,Kota Surakarta,2013,0.0,0.0,0.0,77.66826935846994
32,32,Kota Salatiga,2013,0.0,0.0,0.0,77.99585217199696
33,33,Kota Semarang,2013,136.0,153.5959499501421,11.29381984927515,78.63645346402436
34,34,Kota Pekalongan,2013,0.0,0.0,0.0,79.54643641344126
35,35,Kota Tegal,2013,0.0,0.0,0.0,80.68216419913678
36,36,Cilacap,2014,3139.0,4209.993,13.41189232239567,82.0
37,37,Banyumas,2014,288.0,151.224,5.250833333333333,83.40599938659334
38,38,Purbalingga,2014,15.0,19.367,12.91133333333334,84.6049874961721
39,39,Banjarnegara,2014,7.0,1.96,2.8,85.2514818576648
40,40,Kebumen,2014,9731.0,9469.004,9.730761483917377,85.0
41,41,Purworejo,2014,264.0,365.316,13.83772727272727,83.70241223424226
42,42,Wonosobo,2014,0.0,0.0,0.0,82.0
43,43,Magelang,2014,0.0,0.0,0.0,81.0
44,44,Boyolali,2014,19.0,13.248,6.972631578947369,82.25369824081426
45,45,Klaten,2014,174.0,195.927,11.2601724137931,85.05954072966209
46,46,Sukoharjo,2014,33.0,39.633,12.01,88.08561285367882
47,47,Wonogiri,2014,193.0,220.972,11.44932642487047,90.0
48,48,Karanganyar,2014,0.0,0.0,0.0,89.81544625934472
49,49,Sragen,2014,505.0,619.914,12.27552475247525,87.9233305367674
50,50,Grobogan,2014,18183.0,21925.358,12.05816311939724,85.05969044090617
51,51,Blora,2014,1983.0,1915.396,9.659082198688855,81.9605635803991
52,52,Rembang,2014,2414.0,2976.979,12.33214167357084,79.36198756388433
53,53,Pati,2014,11300.0,12747.758,11.2812017699115,78.0
54,54,Kudus,2014,2238.0,2419.34,10.81027703306524,78.0
