Kabupaten,Tahun,Luas Panen,Hasil Panen,Produktivitas,Station,Humidity
Magelang,2018,829.0,25688.0,309.91,"SMPK. Borobudur, Magelang",79.0
Boyolali,2018,17.0,204.0,117.91,"SMPK Adi Sumarmo, Boyolali",79.0
Klaten,2018,29.0,723.0,252.72,,79.71594529681755
Sukoharjo,2018,0.0,0.0,0.0,,80.43963738096919
Wonogiri,2018,95.0,2201.0,231.01,,80.9435107746362
Karanganyar,2018,720.0,28914.0,401.36,"Puslitbang FP. UNS Jumantono, Karanganyar",81.0
Sragen,2018,0.0,0.0,0.0,,80.48068444421305
Grobogan,2018,28.0,840.0,301.23,,79.65372295431195
Blora,2018,87.0,2489.0,284.81,,78.88641924230429
Rembang,2018,72.0,1926.0,266.01,,78.54607702019776
Pati,2018,230.0,5140.0,223.47,"SMPK. Rondole, Pati",79.0
Kudus,2018,60.0,1798.0,298.21,,80.39511035968039
Jepara,2018,15.0,382.0,248.05,,81.99680414105521
Demak,2018,91.0,2686.0,295.21,,82.8500958519024
Semarang,2018,946.0,24982.0,264.14,"SMPK. Balit Getas, Semarang",82.0
Semarang,2018,946.0,24982.0,264.14,"Klimatologi, Semarang",77.0
Semarang,2018,946.0,24982.0,264.14,"SI. Ungaran, Semarang",66.0
Temanggung,2018,156.0,3819.0,244.66,,65.59982328575128
Kendal,2018,264.0,5988.0,226.81,,73.72691747688145
Batang,2018,202.0,6201.0,306.52,"Gamer/Subah, Batang",82.0
Pekalongan,2018,75.0,1664.0,220.69,,84.00510858440592
Pemalang,2018,21.0,283.0,135.3,,81.19756217015686
Tegal,2018,72.0,1847.0,255.41,"Meteorologi, Tegal",77.0
Brebes,2018,17.0,488.0,286.91,,74.20792138590966
Kota Magelang,2018,0.0,0.0,0.0,,73.10826591676849
Kota Surakarta,2018,0.0,0.0,0.0,,73.36083325068626
Kota Salatiga,2018,4.0,103.0,258.7,,74.62542304577269
Kota Semarang,2018,2.0,54.0,269.34,,76.56183496013755
Kota Pekalongan,2018,0.0,0.0,0.0,,78.82986865189056
Kota Tegal,2018,0.0,0.0,0.0,,81.08932377914148
Cilacap,2019,346.0,8667.0,250.43,"Meteorologi, Cilacap",83.0
Banyumas,2019,66.0,1800.0,271.91,,84.21621401973682
Purbalingga,2019,158.0,3662.0,232.09,,84.37035073226586
Banjarnegara,2019,102.0,2890.0,282.82,,83.08931207866196
Kebumen,2019,28.0,750.0,272.73,"Sempor, Kebumen",80.0
Purworejo,2019,75.0,1997.0,267.7,,75.61629602087964
Wonosobo,2019,875.0,18416.0,210.54,"Wadaslintang, Wonosobo",74.0
Magelang,2019,755.0,21045.0,278.88,"SMPK. Borobudur, Magelang",78.0
Boyolali,2019,24.0,658.0,272.9,,83.14139204488283
Klaten,2019,41.0,1176.0,285.37,,87.15247469788399
Sukoharjo,2019,-25.089179642440413,-2068.6562444355714,255.14603664839177,,88.83732000194311
Wonogiri,2019,75.0,2030.0,270.73,"SMPK. Selogiri, Wonogiri",87.0
Karanganyar,2019,587.0,22273.0,379.5,"Puslitbang FP. UNS Jumantono, Karanganyar",82.0
Sragen,2019,424.8561795723881,16107.429126270661,339.5198167881545,,78.88239510424592
Grobogan,2019,28.0,710.0,255.26,,78.1034206173859
Blora,2019,30.0,802.0,268.07,,78.58324857840286
Rembang,2019,35.0,903.0,260.96,,79.2420510262799
Pati,2019,29.0,638.0,219.2,"SMPK. Rondole, Pati",79.0
Kudus,2019,53.0,1156.0,216.93,"SMPK. Colo, Kudus",78.0
Jepara,2019,9.0,255.0,293.19,,79.62101205897578
Demak,2019,88.0,3107.0,352.63,,81.84523641685271
Semarang,2019,799.0,19471.0,243.72,"SMPK. Balit Getas, Semarang",81.0
Semarang,2019,799.0,19471.0,243.72,"Klimatologi, Semarang",77.0
Semarang,2019,799.0,19471.0,243.72,"SI. Ungaran, Semarang",79.0
Temanggung,2019,230.0,6170.0,268.16,,81.43013839213901
Kendal,2019,264.0,6164.0,233.47,,82.11379178297678
Batang,2019,338.0,9356.0,276.81,"Gamer/Subah, Batang",81.0
Pekalongan,2019,71.0,1926.0,270.16,,78.32060465280466
Pemalang,2019,38.0,776.0,206.33,,75.43865447942389
Tegal,2019,77.0,2095.0,272.47,"Meteorologi, Tegal",74.0
Brebes,2019,20.0,521.0,261.78,,75.1459942092263
Magelang,2019,-15.357005040073869,-495.00646501942975,181.31646719834902,"SMPK. Borobudur, Magelang",78.0
Surakarta,2019,-12.325685257614277,-405.5085398247056,114.00330748312462,,81.10685531250678
Salatiga,2019,3.0,42.0,139.45,,82.71528837788235
Semarang,2019,10.0,253.0,258.36,"SMPK. Balit Getas, Semarang",81.0
Semarang,2019,10.0,253.0,258.36,"Klimatologi, Semarang",77.0
Semarang,2019,10.0,253.0,258.36,"SI. Ungaran, Semarang",79.0
Pekalongan,2019,,,,,81.30288356702263
Tegal,2019,,,,"Meteorologi, Tegal",74.0
