,Unnamed: 0.1,Unnamed: 0,Kabupaten,Tahun,Luas Panen,Hasil Panen,Produktivitas,Station,Humidity
40,40,40,Banjarnegara,2018,102.0,2698.0,263.47,,83.52502448591795
41,41,41,Kebumen,2018,57.0,1333.0,234.66,"Sempor, Kebumen",83.0
42,42,42,Purworejo,2018,56.0,1287.0,231.01,,82.3291574801397
43,43,43,Wonosobo,2018,765.0,17502.0,228.93,"Wadaslintang, Wonosobo",81.0
44,44,44,Magelang,2018,829.0,25688.0,309.91,"SMPK. Borobudur, Magelang",79.0
45,45,45,Boyolali,2018,17.0,204.0,117.91,"SMPK Adi Sumarmo, Boyolali",79.0
46,46,46,Klaten,2018,29.0,723.0,252.72,,79.52612728269456
47,47,47,Sukoharjo,2018,0.0,0.0,0.0,,80.24940816740668
48,48,48,Wonogiri,2018,95.0,2201.0,231.01,,80.84798496841549
49,49,49,Karanganyar,2018,720.0,28914.0,401.36,"Puslitbang FP. UNS Jumantono, Karanganyar",81.0
50,50,50,Sragen,2018,0.0,0.0,0.0,,80.70545326216016
51,51,51,Grobogan,2018,28.0,840.0,301.23,,79.96434475489603
52,52,52,Blora,2018,87.0,2489.0,284.81,,78.93420853354527
53,53,53,Rembang,2018,72.0,1926.0,266.01,,78.56024893013401
54,54,54,Pati,2018,230.0,5140.0,223.47,"SMPK. Rondole, Pati",79.0
55,55,55,Kudus,2018,60.0,1798.0,298.21,,80.25346174314313
56,56,56,Jepara,2018,15.0,382.0,248.05,,82.32063415956351
57,57,57,Demak,2018,91.0,2686.0,295.21,,83.47748949620215
58,58,58,Semarang,2018,946.0,24982.0,264.14,"SMPK. Balit Getas, Semarang",82.0
59,59,59,Semarang,2018,946.0,24982.0,264.14,"Klimatologi, Semarang",77.0
60,60,60,Semarang,2018,946.0,24982.0,264.14,"SI. Ungaran, Semarang",66.0
61,61,61,Temanggung,2018,156.0,3819.0,244.66,,66.0
62,62,62,Kendal,2018,264.0,5988.0,226.81,,75.1941243121389
63,63,63,Batang,2018,202.0,6201.0,306.52,"Gamer/Subah, Batang",82.0
64,64,64,Pekalongan,2018,75.0,1664.0,220.69,,83.31852383360959
