Kabupaten,Tahun,Luas Panen,Hasil Panen,Produktivitas,Station,Humidity
Pemalang,2019,38.0,776.0,206.33,,
Tegal,2019,77.0,2095.0,272.47,"Meteorologi, Tegal",74.0
Brebes,2019,20.0,521.0,261.78,,
Magelang,2019,,,,"SMPK. Borobudur, Magelang",78.0
Surakarta,2019,,,,,
Salatiga,2019,3.0,42.0,139.45,,
Semarang,2019,10.0,253.0,258.36,"SMPK. Balit Getas, Semarang",81.0
Semarang,2019,10.0,253.0,258.36,"Klimatologi, Semarang",77.0
Semarang,2019,10.0,253.0,258.36,"SI. Ungaran, Semarang",79.0
Pekalongan,2019,,,,,
Tegal,2019,,,,"Meteorologi, Tegal",74.0
