Kabupaten,Tahun,Luas Panen,Hasil Panen,Produktivitas,Humidity
Cilacap,2013,1737.0,2274.596642120152,13.09497203293121,82.0
Banyumas,2013,207.0,108.8105544327669,5.256548523322072,83.92978088666091
Purbalingga,2013,34.0,43.77846067064139,12.87601784430629,84.90637451554788
Banjarnegara,2013,4.0,2.719,6.797500000000001,84.92978088666091
Kebumen,2013,7093.0,7093.628853142302,10.00088658274679,84.0
Purworejo,2013,158.0,172.3239773949541,10.90658084778191,82.11703185556516
Wonosobo,2013,1.0,1.196590468163935,11.96590468163935,81.0
Magelang,2013,0.0,0.0,0.0,82.0
Boyolali,2013,13.0,0.0,0.0,82.90886397587629
Klaten,2013,82.0,99.82508781255083,12.17379119665254,83.35856394768071
Sukoharjo,2013,47.0,60.677,12.91,83.34909991541332
Wonogiri,2013,87.0,87.50333473241517,10.05785456694427,82.88047187907407
Karanganyar,2013,0.0,0.0,0.0,81.95267983866296
Sragen,2013,695.0,872.2148844088601,12.54985445192604,80.90867341115882
Grobogan,2013,12231.0,13051.92771211318,10.67118609444296,80.09140221354045
Blora,2013,2188.0,2445.408210463074,11.17645434398114,79.50086624580786
Rembang,2013,3699.0,3551.207066058636,9.600451651956304,79.13706550796103
Pati,2013,10357.0,12509.97430258135,12.07876248197485,79.0
Kudus,2013,954.0,958.143,10.04342767295597,79.0
Jepara,2013,45.0,57.22499999999999,12.71666666666667,78.59904717641277
Demak,2013,13746.0,15874.48376797493,11.54843864977079,77.89355248590218
Semarang,2013,0.0,0.0,0.0,78.0
Semarang,2013,0.0,0.0,0.0,79.0
Temanggung,2013,0.0,0.0,0.0,80.26673010213372
Kendal,2013,1461.0,1684.311729782503,11.52848548790214,81.55272330678214
Batang,2013,2.0,2.088050366946066,10.44025183473033,82.0
Pekalongan,2013,626.0,549.002,8.77,81.46556357946304
Pemalang,2013,45.0,45.885,10.19666666666667,80.1214638899352
Tegal,2013,29.0,25.26477720803902,8.71199214070311,79.0
Brebes,2013,2264.0,2551.36304831839,11.26927141483388,78.27322175442136
Kota Magelang,2013,0.0,0.0,0.0,77.94112915319928
Kota Surakarta,2013,0.0,0.0,0.0,78.00372219633377
Kota Salatiga,2013,0.0,0.0,0.0,78.46100088382482
Kota Semarang,2013,136.0,153.5959499501421,11.29381984927515,79.17315446083775
Kota Pekalongan,2013,0.0,0.0,0.0,80.00037217253795
Kota Tegal,2013,0.0,0.0,0.0,80.94265401892537
Cilacap,2014,3139.0,4209.993,13.41189232239567,82.0
Banyumas,2014,288.0,151.224,5.250833333333333,83.17241011576186
Purbalingga,2014,15.0,19.367,12.91133333333334,84.45988436621099
Banjarnegara,2014,7.0,1.96,2.8,85.26741643355459
Kebumen,2014,9731.0,9469.004,9.730761483917377,85.0
Purworejo,2014,264.0,365.316,13.83772727272727,83.6576350655472
Wonosobo,2014,0.0,0.0,0.0,82.0
Magelang,2014,0.0,0.0,0.0,81.0
Boyolali,2014,19.0,13.248,6.972631578947369,81.93699602657406
Klaten,2014,174.0,195.927,11.2601724137931,85.02421490655999
Sukoharjo,2014,33.0,39.633,12.01,88.34932633326594
Wonogiri,2014,193.0,220.972,11.44932642487047,90.0
Karanganyar,2014,0.0,0.0,0.0,89.97623590676216
Sragen,2014,505.0,619.914,12.27552475247525,88.27803405355243
Grobogan,2014,18183.0,21925.358,12.05816311939724,84.9053944403708
Blora,2014,1983.0,1915.396,9.659082198688855,81.33155606266234
Rembang,2014,2414.0,2976.979,12.33214167357084,79.02975791587207
Pati,2014,11300.0,12747.758,11.2812017699115,78.0
Kudus,2014,2238.0,2419.34,10.81027703306524,78.0
Jepara,2014,30.0,37.835,12.61166666666667,77.57606402559536
Demak,2014,25421.0,34099.481,13.41390228551198,76.6270722941362
Semarang,2014,0.0,0.0,0.0,76.0
Semarang,2014,0.0,0.0,0.0,76.0
Temanggung,2014,0.0,0.0,0.0,77.61101424063821
Kendal,2014,1022.0,1206.282,11.80315068493151,80.53502677776716
Batang,2014,0.0,0.0,0.0,82.0
Pekalongan,2014,428.0,380.92,8.9,81.54392763877226
Pemalang,2014,107.0,77.417,7.235233644859813,79.51473789786895
Tegal,2014,143.0,172.948,12.09426573426573,78.0
Brebes,2014,2456.0,2800.022,11.40074104234528,77.34764214895043
Kota Magelang,2014,0.0,0.0,0.0,77.55766434472022
Kota Surakarta,2014,0.0,0.0,0.0,78.6300665873094
Kota Salatiga,2014,0.0,0.0,0.0,80.56484887671795
Kota Semarang,2014,128.0,152.409,11.906953125,82.49152505653673
Kota Pekalongan,2014,0.0,0.0,0.0,83.53960897035668
Kota Tegal,2014,0.0,0.0,0.0,83.70910061817779
Cilacap,2015,796.0,1076.021,13.51785175879397,83.0
Banyumas,2015,187.0,92.0,4.919786096256685,81.41230711582335
Purbalingga,2015,7.0,9.556,13.65142857142857,78.94602196564784
Banjarnegara,2015,7292.159714014965,9540.29319214175,15.338710934620092,77.0067258326484
Kebumen,2015,10439.0,13619.0,13.04626879969346,77.0
Purworejo,2015,691.0,956.512,13.84243125904486,78.9258444677026
Wonosobo,2015,2.0,2.0,10.0,80.0
Magelang,2015,495.4556988047815,606.0348472254749,8.162924869025485,78.0
Boyolali,2015,306.6073081351635,359.0766932180692,9.2639467539111,76.29660030088655
Klaten,2015,112.0,120.3,10.74107142857143,75.45159354152365
Sukoharjo,2015,19.0,23.009,12.11,75.46497972191133
Wonogiri,2015,98.0,122.0,12.44897959183674,76.33675884204956
Karanganyar,2015,5.0,5.0,10.0,78.06693090193835
Sragen,2015,294.0,374.936,12.75292517006803,79.83174848967207
Grobogan,2015,22790.0,26317.0,11.54760860026327,80.8074641933451
Blora,2015,1724.0,1993.902,11.56555684454757,80.99407801295742
Rembang,2015,1961.0,2238.0,11.41254462009179,80.39158994850905
Pati,2015,9090.0,10075.22,11.08385038503851,79.0
Kudus,2015,3960.0,4528.0,11.43434343434343,77.0
Jepara,2015,24.0,30.12,12.55,75.47574094392753
Demak,2015,27447.0,34536.28,12.582897948774,74.34163453532187
Semarang,2015,39871.64907541893,50128.00756777548,12.736482914426716,72.0
Semarang,2015,28536.74868510071,35837.07649833606,13.271390203137571,69.0
Temanggung,2015,10018.97395223214,12533.677179728615,13.355433022724545,70.2342912817337
Kendal,2015,895.0,1088.0,12.15642458100559,75.53475262920213
Batang,2015,1.0,1.0,10.0,79.0
Pekalongan,2015,255.0,223.38,8.759999999999998,79.64646938705971
Pemalang,2015,14.0,12.01,8.57857142857143,77.97604143371858
Tegal,2015,58.0,61.0,10.51724137931035,77.0
Brebes,2015,1295.0,1461.857,11.28847104247104,77.22022572924124
Magelang,2015,1848.1083622455321,2104.0327862586128,11.666315353345828,78.0
Surakarta,2015,1372.912369385615,1596.9925937948508,11.88586574673435,79.0
Salatiga,2015,540.5101918328908,663.420354433664,11.939146481918916,80.0
Semarang,2015,22.0,26.0,11.81818181818182,72.0
Semarang,2015,22.0,26.0,11.81818181818182,69.0
Pekalongan,2015,1768.2194285112323,2711.031171470507,13.710406857871401,71.47033413640784
Tegal,2015,4693.257470601581,7212.585046435277,16.790382306098696,77.0
Cilacap,2019,4165.0,6272.0,15.06,83.0
Banyumas,2019,122.0,108.0,8.86,86.14248948724037
Purbalingga,2019,-3172.310503366316,-2708.409521658451,6.232930831510564,85.87282768685985
Banjarnegara,2019,1.0,1.0,6.0,83.41675204304941
Kebumen,2019,10086.0,6517.0,6.46,80.0
Purworejo,2019,3437.0,3922.0,11.41,75.62257155771161
Wonosobo,2019,-2069.9514247297293,1123.924992105559,15.002073995482196,74.0
Magelang,2019,-2694.7976756676035,18.92184577310468,16.125232695143836,78.0
Boyolali,2019,-1020.7450887716765,19.45777655409799,15.68077504723356,82.53565989362625
Klaten,2019,369.0,538.0,14.57,86.75916107019782
Sukoharjo,2019,1474.4375906474263,1574.5485161108109,12.792907553443165,88.85308171167048
Wonogiri,2019,38.0,45.0,11.64,87.0
Karanganyar,2019,-6197.880455112881,-7134.748873218961,12.401779632107468,82.0
Sragen,2019,69.0,90.0,12.95,78.6535861005526
Grobogan,2019,23215.0,26837.0,11.56,77.76084236647141
Blora,2019,256.0,259.0,10.12,78.88958351149944
Rembang,2019,423.0,333.0,7.87,79.44669781809466
Pati,2019,5392.0,7179.0,13.31,79.0
Kudus,2019,5085.0,5820.0,11.45,78.0
Jepara,2019,15509.318463817965,19856.65794609778,11.562430965486115,79.14975747480162
Demak,2019,28290.0,37636.0,13.3,81.9831074030601
Semarang,2019,32170.573555629813,43195.098348408545,14.239392758550732,81.0
Semarang,2019,27151.039130707395,36533.952991323386,14.380609241138302,77.0
Semarang,2019,14913.685206327673,19959.321741260293,13.802241406437826,79.0
Temanggung,2019,5552.242669060232,7311.751473313915,12.97584100650002,81.0329661338612
Kendal,2019,749.0,898.0,11.98,81.77877947182648
Batang,2019,1.0,1.0,11.0,81.0
Pekalongan,2019,122.0,133.0,10.87,78.65705438273235
Pemalang,2019,-401.9540442171176,-535.1525937340045,10.110097503821919,75.27453542981546
Tegal,2019,7.0,7.0,10.29,74.0
Brebes,2019,2652.0,3391.0,12.79,75.35804090307781
Magelang,2019,4873.703518896511,6231.268759426381,14.808423532170687,78.0
Surakarta,2019,6228.886817208469,7963.54317047254,15.878324934570195,80.57721915171763
Salatiga,2019,6717.549894935879,8587.823233138477,15.999704207198521,82.58553862272633
Semarang,2019,6339.692752078736,8104.108947424189,15.172561350055663,81.0
Semarang,2019,5095.315388637042,6512.400313329682,13.396896363141625,77.0
Semarang,2019,2984.417804610797,3812.6973308549527,10.672709246456403,79.0
Pekalongan,2019,7.0,5.0,7.0,78.56229244484031
Tegal,2019,,,,74.0
